map
	ez_square
end

value
	1.10051,14.24211,2.78800,87.30576,34.55000,216.34990,0.00000,-4.34124,-1.83000,-7.78063,0,0,0,1,0,1,
	1.10832,14.24211,2.78800,87.30576,34.90001,215.19990,0.00000,-4.34124,-1.83000,-7.78063,0,0,0,1,0,1,
	1.11487,14.16284,2.74500,87.14482,35.20001,214.14990,0.00000,-3.96337,-2.15000,-8.04719,0,0,0,1,0,1,
	1.11966,14.16284,2.74500,87.14482,35.45001,213.19990,0.00000,-3.96337,-2.15000,-8.04719,0,0,0,1,0,1,
	1.12363,14.16284,2.74500,87.14482,35.60001,212.49990,0.00000,-3.96337,-2.15000,-8.04719,0,0,0,1,0,1,
	1.12711,14.16284,2.74500,87.14482,35.75001,211.99990,0.00000,-3.96337,-2.15000,-8.04719,0,0,0,1,0,1,
	1.13343,14.09200,2.69560,86.97861,36.00001,210.74990,0.00000,-3.54208,-2.47000,-8.31045,0,0,0,1,0,1,
	1.13940,14.09200,2.69560,86.97861,36.20001,209.69990,0.00000,-3.54208,-2.47000,-8.31045,0,0,0,1,0,1,
	1.14345,14.09200,2.69560,86.97861,36.40001,208.74990,0.00000,-3.54208,-2.47000,-8.31045,0,0,0,1,0,1,
	1.15408,14.03007,2.63980,86.80752,36.85002,206.59990,0.00000,-3.09651,-2.79000,-8.55489,0,0,0,1,0,1,
	1.15932,14.03007,2.63980,86.80752,37.05001,205.34990,0.00000,-3.09651,-2.79000,-8.55489,0,0,0,1,0,1,
	1.16452,14.03007,2.63980,86.80752,37.20001,204.29990,0.00000,-3.09651,-2.79000,-8.55489,0,0,0,1,0,1,
	1.17071,13.98093,2.57760,86.63065,37.40001,202.99990,0.00000,-2.45696,-3.11000,-8.84366,0,0,0,1,0,1,
	1.17589,13.98093,2.57760,86.63065,37.55002,201.59990,0.00000,-2.45696,-3.11000,-8.84366,0,0,0,1,0,1,
	1.18767,13.98093,2.57760,86.63065,37.90002,198.69990,0.00000,-2.45696,-3.11000,-8.84366,0,0,0,1,0,1,
	1.19232,13.94869,2.50900,86.44805,38.00002,197.44990,0.00000,-1.61216,-3.43000,-9.12960,0,0,0,1,0,1,
	1.20147,13.94869,2.50900,86.44805,38.20001,195.09990,0.00000,-1.61216,-3.43000,-9.12960,0,0,0,1,0,1,
	1.20532,13.94869,2.50900,86.44805,38.35002,193.74990,0.00000,-1.61216,-3.43000,-9.12960,0,0,0,1,0,1,
	1.20993,13.93191,2.43400,86.26167,38.40001,192.34990,0.00000,-0.83898,-3.75000,-9.31880,0,0,0,1,0,1,
	1.21972,13.93191,2.43400,86.26167,38.60002,189.49990,0.00000,-0.83898,-3.75000,-9.31880,0,0,0,1,0,1,
	1.22546,13.93191,2.43400,86.26167,38.65001,187.69990,0.00000,-0.83898,-3.75000,-9.31880,0,0,0,1,0,1,
	1.23313,13.93461,2.35260,86.07266,38.80002,185.24990,0.00000,0.13500,-4.07000,-9.45049,0,0,0,1,0,1,
	1.23907,13.93461,2.35260,86.07266,38.85001,183.34990,0.00000,0.13500,-4.07000,-9.45049,0,0,0,1,0,1,
	1.24511,13.93461,2.35260,86.07266,38.95002,181.14990,0.00000,0.13500,-4.07000,-9.45049,0,0,0,1,0,1,
	1.25360,13.95881,2.26480,85.88322,39.00001,178.59990,0.00000,1.21015,-4.39000,-9.47207,0,0,0,1,0,1,
	1.25905,13.95881,2.26480,85.88322,39.05001,176.39990,0.00000,1.21015,-4.39000,-9.47207,0,0,0,1,0,1,
	1.27038,13.99872,2.17060,85.69477,39.10001,172.94990,0.00000,1.99560,-4.71000,-9.42265,0,0,0,1,0,1,
	1.27608,13.99872,2.17060,85.69477,39.15001,170.74990,0.00000,1.99560,-4.71000,-9.42265,0,0,0,1,0,1,
	1.28199,13.99872,2.17060,85.69477,39.15001,168.89990,0.00000,1.99560,-4.71000,-9.42265,0,0,0,1,0,1,
	1.28764,13.99872,2.17060,85.69477,39.15001,167.34990,0.00000,1.99560,-4.71000,-9.42265,0,0,0,1,0,1,
	1.29658,14.06822,2.07000,85.51296,39.15001,164.34990,0.00000,3.47516,-5.03000,-9.09057,0,0,0,1,0,1,
	1.30335,14.06822,2.07000,85.51296,39.10001,162.19990,0.00000,3.47516,-5.03000,-9.09057,0,0,0,1,0,1,
	1.31097,14.15430,1.96300,85.33647,39.00002,159.79990,0.00000,4.30366,-5.35000,-8.82457,0,0,0,1,0,1,
	1.31851,14.15430,1.96300,85.33647,38.95002,157.34990,0.00000,4.30366,-5.35000,-8.82457,0,0,0,1,0,1,
	1.32605,14.15430,1.96300,85.33647,38.80001,154.95000,0.00000,4.30366,-5.35000,-8.82457,0,0,0,1,0,1,
	1.33082,14.26279,1.84960,85.17046,38.70002,153.05000,0.00000,5.42481,5.85000,-8.30057,0,0,0,1,0,1,
	1.33492,14.26279,1.84960,85.17046,38.60001,151.85000,0.00000,5.42481,5.85000,-8.30057,0,0,0,1,0,1,
	1.33910,14.26279,1.84960,85.17046,38.50002,150.60000,0.00000,5.42481,5.85000,-8.30057,0,0,0,1,0,1,
	1.34346,14.26279,1.84960,85.17046,38.45002,149.35000,0.00000,5.42481,5.85000,-8.30057,0,0,0,1,0,1,
	1.34859,14.38789,1.96020,85.01429,38.25002,147.45000,0.00000,6.25468,5.53000,-7.80882,0,0,0,1,0,1,
	1.35643,14.38789,1.96020,85.01429,38.05002,144.95000,0.00000,6.25468,5.53000,-7.80882,0,0,0,1,0,1,
	1.36052,14.38789,1.96020,85.01429,37.90002,143.75000,0.00000,6.25468,5.53000,-7.80882,0,0,0,1,0,1,
	1.36579,14.38789,1.96020,85.01429,37.70001,141.60000,0.00000,6.25468,5.53000,-7.80882,0,0,0,1,0,1,
	1.36975,14.53412,2.06440,84.87487,37.55002,140.40000,0.00000,7.31163,5.21000,-6.97108,0,0,0,1,0,1,
	1.37438,14.53412,2.06440,84.87487,37.40001,139.20000,0.00000,7.31163,5.21000,-6.97108,0,0,0,1,0,1,
