map
	ez_tower
end

value
	0.795,74.948,0.900,-71.160,22.900,-3.300,0.000,-0.268,0.000,7.697,1,0,0,0,0,0,
	0.799,74.942,0.900,-71.006,23.050,-3.350,0.000,-0.289,0.000,7.696,1,0,0,0,0,0,
	0.803,74.942,0.900,-71.006,23.150,-3.400,0.000,-0.289,0.000,7.696,1,0,0,0,0,0,
	0.807,74.942,0.900,-71.006,23.250,-3.450,0.000,-0.289,0.000,7.696,1,0,0,0,0,0,
	0.813,74.942,0.900,-71.006,23.450,-3.500,0.000,-0.289,0.000,7.696,1,0,0,0,0,0,
	0.817,74.942,0.900,-71.006,23.550,-3.550,0.000,-0.289,0.000,7.696,1,0,0,0,0,0,
	0.821,74.936,0.900,-70.852,23.650,-3.550,0.000,-0.311,0.000,7.696,1,0,0,0,0,0,
	0.825,74.936,0.900,-70.852,23.750,-3.600,0.000,-0.311,0.000,7.696,1,0,0,0,0,0,
	0.829,74.936,0.900,-70.852,23.850,-3.650,0.000,-0.311,0.000,7.696,1,0,0,0,0,0,
	0.833,74.936,0.900,-70.852,23.950,-3.700,0.000,-0.311,0.000,7.696,1,0,0,0,0,0,
	0.837,74.936,0.900,-70.852,24.100,-3.750,0.000,-0.311,0.000,7.696,1,0,0,0,0,0,
	0.843,74.929,0.900,-70.699,24.200,-3.800,0.000,-0.333,0.000,7.695,1,0,0,0,0,0,
	0.847,74.929,0.900,-70.699,24.300,-3.900,0.000,-0.333,0.000,7.695,1,0,0,0,0,0,
	0.851,74.929,0.900,-70.699,24.400,-3.950,0.000,-0.333,0.000,7.695,1,0,0,0,0,0,
	0.856,74.929,0.900,-70.699,24.500,-4.000,0.000,-0.333,0.000,7.695,1,0,0,0,0,0,
	0.860,74.922,0.900,-70.545,24.600,-4.050,0.000,-0.357,0.000,7.694,1,0,0,0,0,0,
	0.864,74.922,0.900,-70.545,24.700,-4.100,0.000,-0.357,0.000,7.694,1,0,0,0,0,0,
	0.868,74.922,0.900,-70.545,24.800,-4.150,0.000,-0.357,0.000,7.694,1,0,0,0,0,0,
	0.873,74.922,0.900,-70.545,24.900,-4.200,0.000,-0.357,0.000,7.694,1,0,0,0,0,0,
	0.878,74.915,0.900,-70.391,25.000,-4.250,0.000,-0.381,0.000,7.693,1,0,0,0,0,0,
	0.882,74.915,0.900,-70.391,25.050,-4.250,0.000,-0.381,0.000,7.693,1,0,0,0,0,0,
	0.886,74.915,0.900,-70.391,25.150,-4.300,0.000,-0.381,0.000,7.693,1,0,0,0,0,0,
	0.893,74.915,0.900,-70.391,25.250,-4.400,0.000,-0.381,0.000,7.693,1,0,0,0,0,0,
	0.898,74.906,0.900,-70.237,25.400,-4.450,0.000,-0.406,0.000,7.692,1,0,0,0,0,0,
	0.904,74.906,0.900,-70.237,25.500,-4.550,0.000,-0.406,0.000,7.692,1,0,0,0,0,0,
	0.908,74.906,0.900,-70.237,25.600,-4.600,0.000,-0.406,0.000,7.692,1,0,0,0,0,0,
	0.911,74.906,0.900,-70.237,25.650,-4.600,0.000,-0.406,0.000,7.692,1,0,0,0,0,0,
	0.914,74.906,0.900,-70.237,25.700,-4.650,0.000,-0.406,0.000,7.692,1,0,0,0,0,0,
	0.919,74.898,0.900,-70.083,25.750,-4.700,0.000,-0.431,0.000,7.690,1,0,0,0,0,0,
	0.924,74.898,0.900,-70.083,25.850,-4.750,0.000,-0.431,0.000,7.690,1,0,0,0,0,0,
	0.928,74.898,0.900,-70.083,25.900,-4.800,0.000,-0.431,0.000,7.690,1,0,0,0,0,0,
	0.933,74.898,0.900,-70.083,25.950,-4.850,0.000,-0.431,0.000,7.690,1,0,0,0,0,0,
	0.937,74.898,0.900,-70.083,26.050,-4.900,0.000,-0.431,0.000,7.690,1,0,0,0,0,0,
	0.941,74.889,0.900,-69.929,26.100,-4.950,0.000,-0.458,0.000,7.689,1,0,0,0,0,0,
	0.946,74.889,0.900,-69.929,26.150,-4.950,0.000,-0.458,0.000,7.689,1,0,0,0,0,0,
	0.952,74.889,0.900,-69.929,26.250,-5.000,0.000,-0.458,0.000,7.689,1,0,0,0,0,0,
	0.955,74.889,0.900,-69.929,26.300,-5.050,0.000,-0.458,0.000,7.689,1,0,0,0,0,0,
	0.960,74.879,0.900,-69.776,26.350,-5.100,0.000,-0.484,0.000,7.687,1,0,0,0,0,0,
	0.965,74.879,0.900,-69.776,26.400,-5.150,0.000,-0.484,0.000,7.687,1,0,0,0,0,0,
	0.969,74.879,0.900,-69.776,26.450,-5.200,0.000,-0.484,0.000,7.687,1,0,0,0,0,0,
	0.973,74.879,0.900,-69.776,26.500,-5.250,0.000,-0.484,0.000,7.687,1,0,0,0,0,0,
	0.976,74.879,0.900,-69.776,26.500,-5.250,0.000,-0.484,0.000,7.687,1,0,0,0,0,0,
	0.981,74.869,0.900,-69.622,26.600,-5.300,0.000,-0.510,0.000,7.686,1,0,0,0,0,0,
	0.985,74.869,0.900,-69.622,26.600,-5.350,0.000,-0.510,0.000,7.686,1,0,0,0,0,0,
	0.988,74.869,0.900,-69.622,26.650,-5.350,0.000,-0.510,0.000,7.686,1,0,0,0,0,0,
	0.993,74.869,0.900,-69.622,26.700,-5.400,0.000,-0.510,0.000,7.686,1,0,0,0,0,0,
	0.997,74.869,0.900,-69.622,26.700,-5.450,0.000,-0.510,0.000,7.686,1,0,0,0,0,0,
	1.001,74.858,0.900,-69.468,26.750,-5.500,0.000,-0.536,0.000,7.684,1,0,0,0,0,0,
	1.006,74.858,0.900,-69.468,26.800,-5.550,0.000,-0.536,0.000,7.684,1,0,0,0,0,0,
	1.009,74.858,0.900,-69.468,26.850,-5.600,0.000,-0.536,0.000,7.684,1,0,0,0,0,0,
	1.015,74.858,0.900,-69.468,26.900,-5.650,0.000,-0.536,0.000,7.684,1,0,0,0,0,0,
	1.019,74.847,0.900,-69.315,26.900,-5.700,0.000,-0.562,0.000,7.682,1,0,0,0,0,0,
	1.025,74.847,0.900,-69.315,26.950,-5.750,0.000,-0.562,0.000,7.682,1,0,0,0,0,0,
	1.029,74.847,0.900,-69.315,27.000,-5.750,0.000,-0.562,0.000,7.682,1,0,0,0,0,0,
	1.033,74.847,0.900,-69.315,27.000,-5.800,0.000,-0.562,0.000,7.682,1,0,0,0,0,0,
	1.037,74.835,0.900,-69.161,27.050,-5.850,0.000,-0.587,0.000,7.680,1,0,0,0,0,0,
	1.044,74.835,0.900,-69.161,27.050,-5.900,0.000,-0.587,0.000,7.680,1,0,0,0,0,0,
	1.048,74.835,0.900,-69.161,27.100,-5.900,0.000,-0.587,0.000,7.680,1,0,0,0,0,0,
	1.052,74.835,0.900,-69.161,27.100,-5.950,0.000,-0.587,0.000,7.680,1,0,0,0,0,0,
	1.056,74.835,0.900,-69.161,27.150,-5.950,0.000,-0.587,0.000,7.680,1,0,0,0,0,0,
	1.060,74.823,0.900,-69.008,27.150,-6.000,0.000,-0.612,0.000,7.678,1,0,0,0,0,0,
	1.063,74.823,0.900,-69.008,27.150,-6.000,0.000,-0.612,0.000,7.678,1,0,0,0,0,0,
	1.066,74.823,0.900,-69.008,27.150,-6.000,0.000,-0.612,0.000,7.678,1,0,0,0,0,0,
	1.069,74.823,0.900,-69.008,27.150,-6.000,0.000,-0.612,0.000,7.678,1,0,0,0,0,0,
