map
	ez_tower
end

value
	48.724,-72.582,-66.394,20.886,23.150,-524.800,0.000,-8.192,3.290,-37.433,0,0,1,0,0,1,
	48.728,-72.810,-66.334,20.155,23.100,-524.100,0.000,-11.385,2.970,-36.565,0,0,1,0,0,1,
	48.734,-72.810,-66.334,20.155,23.050,-523.250,0.000,-11.385,2.970,-36.565,0,0,1,0,0,1,
	48.739,-72.810,-66.334,20.155,23.000,-522.150,0.000,-11.385,2.970,-36.565,0,0,1,0,0,1,
	48.743,-72.810,-66.334,20.155,23.000,-521.600,0.000,-11.385,2.970,-36.565,0,0,1,0,0,1,
	48.747,-73.078,-66.281,19.437,22.950,-521.050,0.000,-13.414,2.650,-35.890,0,0,1,0,0,1,
	48.751,-73.078,-66.281,19.437,22.950,-520.600,0.000,-13.414,2.650,-35.890,0,0,1,0,0,1,
	48.755,-73.078,-66.281,19.437,22.950,-520.250,0.000,-13.414,2.650,-35.890,0,0,1,0,0,1,
	48.759,-73.078,-66.281,19.437,22.950,-519.700,0.000,-13.414,2.650,-35.890,0,0,1,0,0,1,
	48.763,-73.078,-66.281,19.437,22.950,-519.350,0.000,-13.414,2.650,-35.890,0,0,1,0,0,1,
	48.768,-73.375,-66.235,18.730,22.950,-519.050,0.000,-14.822,2.330,-35.360,0,0,1,0,0,1,
	48.773,-73.375,-66.235,18.730,22.950,-518.750,0.000,-14.822,2.330,-35.360,0,0,1,0,0,1,
	48.777,-73.375,-66.235,18.730,22.950,-518.500,0.000,-14.822,2.330,-35.360,0,0,1,0,0,1,
	48.781,-73.375,-66.235,18.730,22.950,-518.350,0.000,-14.822,2.330,-35.360,0,0,1,0,0,1,
	48.786,-73.684,-66.195,18.028,22.950,-518.200,0.000,-15.444,2.010,-35.113,0,0,1,0,0,1,
	48.791,-73.684,-66.195,18.028,22.950,-518.050,0.000,-15.444,2.010,-35.113,0,0,1,0,0,1,
	48.795,-73.684,-66.195,18.028,22.950,-518.000,0.000,-15.444,2.010,-35.113,0,0,1,0,0,1,
	48.799,-73.684,-66.195,18.028,22.950,-517.950,0.000,-15.444,2.010,-35.113,0,0,1,0,0,1,
	48.803,-73.684,-66.195,18.028,22.950,-517.900,0.000,-15.444,2.010,-35.113,0,0,1,0,0,1,
	48.807,-73.998,-66.161,17.328,22.950,-517.850,0.000,-15.723,1.690,-35.000,0,0,1,0,0,1,
	48.810,-73.998,-66.161,17.328,22.950,-517.850,0.000,-15.723,1.690,-35.000,0,0,1,0,0,1,
	48.813,-73.998,-66.161,17.328,22.950,-517.850,0.000,-15.723,1.690,-35.000,0,0,1,0,0,1,
	48.818,-73.998,-66.161,17.328,22.950,-517.800,0.000,-15.723,1.690,-35.000,0,0,1,0,0,1,
	48.821,-73.998,-66.161,17.328,22.950,-517.800,0.000,-15.723,1.690,-35.000,0,0,1,0,0,1,
	48.824,-73.998,-66.161,17.328,22.950,-517.800,0.000,-15.723,1.690,-35.000,0,0,1,0,0,1,
	48.827,-74.314,-66.133,16.628,22.950,-517.800,0.000,-15.785,1.370,-34.975,0,0,1,0,0,1,
	48.830,-74.314,-66.133,16.628,22.950,-517.800,0.000,-15.785,1.370,-34.975,0,0,1,0,0,1,
	48.834,-74.314,-66.133,16.628,22.950,-517.800,0.000,-15.785,1.370,-34.975,0,0,1,0,0,1,
	48.838,-74.314,-66.133,16.628,22.950,-517.750,0.000,-15.785,1.370,-34.975,0,0,1,0,0,1,
	48.841,-74.314,-66.133,16.628,22.950,-517.750,0.000,-15.785,1.370,-34.975,0,0,1,0,0,1,
	48.845,-74.314,-66.133,16.628,22.950,-517.700,0.000,-15.785,1.370,-34.975,0,0,1,0,0,1,
	48.848,-74.631,-66.112,15.929,22.950,-517.700,0.000,-15.847,1.050,-34.949,0,0,1,0,0,1,
	48.852,-74.631,-66.112,15.929,22.950,-517.650,0.000,-15.847,1.050,-34.949,0,0,1,0,0,1,
