map
	ez_stream
end

value
	0.613,-0.203,0.900,-2.709,14.750,354.250,0.000,-0.736,0.000,7.665,1,0,0,0,0,0,
	0.618,-0.218,0.900,-2.556,14.750,354.250,0.000,-0.740,0.000,7.664,1,0,0,0,0,0,
	0.625,-0.218,0.900,-2.556,14.750,354.250,0.000,-0.740,5.850,7.664,1,0,0,0,0,1,
	0.629,-0.218,0.900,-2.556,14.750,354.250,0.000,-0.740,5.850,7.664,1,0,0,0,0,1,
	0.633,-0.218,0.900,-2.556,14.750,354.250,0.000,-0.740,5.850,7.664,1,0,0,0,0,1,
	0.637,-0.233,1.011,-2.402,14.750,354.250,0.000,-0.740,5.530,7.664,1,0,0,0,0,1,
	0.643,-0.233,1.011,-2.402,14.750,354.250,0.000,-0.740,5.530,7.664,1,0,0,0,0,1,
	0.647,-0.233,1.011,-2.402,14.750,354.250,0.000,-0.740,5.530,7.664,1,0,0,0,0,1,
	0.651,-0.233,1.011,-2.402,14.750,354.250,0.000,-0.740,5.530,7.664,1,0,0,0,0,1,
	0.654,-0.233,1.011,-2.402,14.750,354.250,0.000,-0.740,5.530,7.664,1,0,0,0,0,1,
	0.658,-0.247,1.115,-2.249,14.750,354.250,0.000,-0.740,5.210,7.664,1,0,0,0,0,1,
	0.662,-0.247,1.115,-2.249,14.750,354.250,0.000,-0.740,5.210,7.664,1,0,0,0,0,1,
	0.667,-0.247,1.115,-2.249,14.750,354.250,0.000,-0.740,5.210,7.664,1,0,0,0,0,1,
	0.672,-0.247,1.115,-2.249,14.750,354.250,0.000,-0.740,5.210,7.664,1,0,0,0,0,1,
	0.675,-0.247,1.115,-2.249,14.750,354.250,0.000,-0.740,5.210,7.664,1,0,0,0,0,1,
	0.679,-0.262,1.213,-2.096,14.750,354.250,0.000,-0.740,4.890,7.664,1,0,0,0,0,1,
	0.684,-0.262,1.213,-2.096,14.750,354.250,0.000,-0.740,4.890,7.664,1,0,0,0,0,1,
	0.688,-0.262,1.213,-2.096,14.800,354.250,0.000,-0.740,4.890,7.664,1,0,0,0,0,1,
	0.691,-0.262,1.213,-2.096,14.800,354.250,0.000,-0.740,4.890,7.664,1,0,0,0,0,1,
	0.695,-0.262,1.213,-2.096,14.800,354.250,0.000,-0.740,4.890,7.664,1,0,0,0,0,1,
	0.698,-0.277,1.304,-1.943,14.800,354.250,0.000,-0.740,4.570,7.664,1,0,0,0,0,1,
	0.703,-0.277,1.304,-1.943,14.800,354.250,0.000,-0.740,4.570,7.664,0,0,0,0,0,1,
	0.709,-0.277,1.304,-1.943,14.800,354.250,0.000,-0.740,4.570,7.664,0,0,0,0,0,0,
	0.713,-0.277,1.304,-1.943,14.800,354.250,0.000,-0.740,4.570,7.664,0,0,0,0,0,0,
	0.717,-0.292,1.389,-1.789,14.800,354.250,0.000,-0.740,4.250,7.664,0,0,0,0,0,0,
	0.720,-0.292,1.389,-1.789,14.800,354.250,0.000,-0.740,4.250,7.664,0,0,0,0,0,0,
	0.723,-0.292,1.389,-1.789,14.800,354.250,0.000,-0.740,4.250,7.664,0,0,0,0,0,0,
	0.725,-0.292,1.389,-1.789,14.800,354.250,0.000,-0.740,4.250,7.664,0,0,0,0,0,0,
	0.728,-0.292,1.389,-1.789,14.800,354.250,0.000,-0.740,4.250,7.664,0,0,0,0,0,0,
	0.730,-0.292,1.389,-1.789,14.800,354.250,0.000,-0.740,4.250,7.664,0,0,0,0,0,0,
	0.733,-0.292,1.389,-1.789,14.800,354.250,0.000,-0.740,4.250,7.664,0,0,0,0,0,0,
	0.736,-0.292,1.389,-1.789,14.800,354.250,0.000,-0.740,4.250,7.664,0,0,0,0,0,0,
	0.738,-0.307,1.468,-1.636,14.800,354.250,0.000,-0.740,3.930,7.664,0,0,0,0,0,0,
	0.742,-0.307,1.468,-1.636,14.800,354.250,0.000,-0.740,3.930,7.664,0,0,1,0,0,0,
	0.746,-0.307,1.468,-1.636,14.800,354.250,0.000,-0.740,3.930,7.664,0,0,1,0,0,0,
	0.748,-0.307,1.468,-1.636,14.800,354.250,0.000,-0.740,3.930,7.664,0,0,1,0,0,0,
	0.751,-0.307,1.468,-1.636,14.800,354.250,0.000,-0.740,3.930,7.664,0,0,1,0,0,0,
	0.753,-0.307,1.468,-1.636,14.800,354.250,0.000,-0.740,3.930,7.664,0,0,1,0,0,0,
	0.755,-0.307,1.468,-1.636,14.800,354.250,0.000,-0.740,3.930,7.664,0,0,1,0,0,0,
	0.757,-0.294,1.540,-1.480,14.800,354.250,0.000,0.622,3.610,7.802,0,0,1,0,0,0,
	0.760,-0.294,1.540,-1.480,14.800,354.250,0.000,0.622,3.610,7.802,0,0,1,0,0,0,
	0.763,-0.294,1.540,-1.480,14.800,354.250,0.000,0.622,3.610,7.802,0,0,1,0,0,0,
	0.765,-0.294,1.540,-1.480,14.800,354.250,0.000,0.622,3.610,7.802,0,0,1,0,0,0,
	0.768,-0.294,1.540,-1.480,14.800,354.250,0.000,0.622,3.610,7.802,0,0,1,0,0,0,
	0.770,-0.294,1.540,-1.480,14.800,354.250,0.000,0.622,3.610,7.802,0,0,1,0,0,0,
	0.772,-0.294,1.540,-1.480,14.800,354.250,0.000,0.622,3.610,7.802,0,0,1,0,0,0,
	0.775,-0.294,1.540,-1.480,14.800,354.250,0.000,0.622,3.610,7.802,0,0,1,0,0,0,
	0.778,-0.282,1.606,-1.324,14.800,354.250,0.000,0.622,3.290,7.802,0,0,1,0,0,0,
	0.781,-0.282,1.606,-1.324,14.800,354.250,0.000,0.622,3.290,7.802,0,0,1,0,0,0,
	0.783,-0.282,1.606,-1.324,14.800,354.250,0.000,0.622,3.290,7.802,0,0,1,0,0,0,
	0.786,-0.282,1.606,-1.324,14.800,354.250,0.000,0.622,3.290,7.802,0,0,1,0,0,0,
	0.788,-0.282,1.606,-1.324,14.800,354.250,0.000,0.622,3.290,7.802,0,0,1,0,0,0,
	0.791,-0.282,1.606,-1.324,14.800,354.250,0.000,0.622,3.290,7.802,0,0,1,0,0,0,
	0.793,-0.282,1.606,-1.324,14.800,354.250,0.000,0.622,3.290,7.802,0,0,1,0,0,0,
	0.796,-0.269,1.665,-1.168,14.800,354.250,0.000,0.622,2.970,7.802,0,0,1,0,0,0,
	0.800,-0.269,1.665,-1.168,14.800,354.250,0.000,0.622,2.970,7.802,0,0,1,0,0,0,
	0.803,-0.269,1.665,-1.168,14.800,354.250,0.000,0.622,2.970,7.802,0,0,1,0,0,0,
	0.806,-0.269,1.665,-1.168,14.800,354.250,0.000,0.622,2.970,7.802,0,0,1,0,0,0,
	0.808,-0.269,1.665,-1.168,14.800,354.250,0.000,0.622,2.970,7.802,0,0,1,0,0,0,
	0.812,-0.269,1.665,-1.168,14.800,354.250,0.000,0.622,2.970,7.802,0,0,1,0,0,0,
	0.816,-0.257,1.718,-1.012,14.800,354.250,0.000,0.622,2.650,7.802,0,0,0,0,0,0,
	0.822,-0.257,1.718,-1.012,14.800,354.250,0.000,0.622,2.650,7.802,0,0,0,0,0,0,
	0.825,-0.257,1.718,-1.012,14.800,354.250,0.000,0.622,2.650,7.802,0,0,0,0,0,0,
	0.828,-0.257,1.718,-1.012,14.800,354.250,0.000,0.622,2.650,7.802,0,0,0,0,0,0,
	0.830,-0.257,1.718,-1.012,14.800,354.250,0.000,0.622,2.650,7.802,0,0,0,0,0,0,
	0.834,-0.257,1.718,-1.012,14.800,354.250,0.000,0.622,2.650,7.802,0,0,0,1,0,0,
	0.839,-0.300,1.765,-0.861,14.850,354.250,0.000,-2.164,2.330,7.521,0,0,0,1,0,0,
	0.842,-0.300,1.765,-0.861,14.850,354.250,0.000,-2.164,2.330,7.521,0,0,0,1,0,0,
	0.845,-0.300,1.765,-0.861,14.850,354.250,0.000,-2.164,2.330,7.521,0,0,0,1,0,0,
	0.847,-0.300,1.765,-0.861,14.850,354.250,0.000,-2.164,2.330,7.521,0,0,0,1,0,0,
	0.851,-0.300,1.765,-0.861,14.900,354.200,0.000,-2.164,2.330,7.521,0,0,0,1,0,0,
	0.854,-0.300,1.765,-0.861,14.900,354.200,0.000,-2.164,2.330,7.521,0,0,0,1,0,0,
	0.856,-0.344,1.805,-0.711,14.900,354.200,0.000,-2.171,2.010,7.520,0,0,0,1,0,0,
	0.860,-0.344,1.805,-0.711,14.950,354.150,0.000,-2.171,2.010,7.520,0,0,0,1,0,0,
	0.863,-0.344,1.805,-0.711,14.950,354.150,0.000,-2.171,2.010,7.520,0,0,0,1,0,0,
	0.868,-0.344,1.805,-0.711,15.000,354.100,0.000,-2.171,2.010,7.520,0,0,0,1,0,0,
	0.871,-0.344,1.805,-0.711,15.000,354.100,0.000,-2.171,2.010,7.520,0,0,0,1,0,0,
	0.874,-0.344,1.805,-0.711,15.050,354.050,0.000,-2.171,2.010,7.520,0,0,0,1,0,0,
	0.878,-0.387,1.839,-0.561,15.100,354.000,0.000,-2.191,1.690,7.518,0,0,0,1,0,0,
	0.883,-0.387,1.839,-0.561,15.150,353.950,0.000,-2.191,1.690,7.518,0,0,0,1,0,0,
	0.888,-0.387,1.839,-0.561,15.200,353.850,0.000,-2.191,1.690,7.518,0,0,0,1,0,0,
	0.891,-0.387,1.839,-0.561,15.250,353.800,0.000,-2.191,1.690,7.518,0,0,0,1,0,0,
	0.894,-0.387,1.839,-0.561,15.300,353.750,0.000,-2.191,1.690,7.518,0,0,0,1,0,0,
	0.898,-0.432,1.866,-0.410,15.350,353.700,0.000,-2.231,1.370,7.514,0,0,0,1,0,0,
	0.901,-0.432,1.866,-0.410,15.400,353.650,0.000,-2.231,1.370,7.514,0,0,0,1,0,0,
	0.905,-0.432,1.866,-0.410,15.500,353.550,0.000,-2.231,1.370,7.514,0,0,0,1,0,0,
	0.909,-0.432,1.866,-0.410,15.550,353.450,0.000,-2.231,1.370,7.514,0,0,0,1,0,0,
	0.914,-0.432,1.866,-0.410,15.650,353.350,0.000,-2.231,1.370,7.514,0,0,0,1,0,0,
	0.918,-0.478,1.887,-0.260,15.750,353.250,0.000,-2.285,1.050,7.508,0,0,0,1,0,0,
	0.922,-0.478,1.887,-0.260,15.800,353.150,0.000,-2.285,1.050,7.508,0,0,0,1,0,0,
	0.926,-0.478,1.887,-0.260,15.950,352.950,0.000,-2.285,1.050,7.508,0,0,0,1,0,0,
	0.931,-0.478,1.887,-0.260,16.050,352.800,0.000,-2.285,1.050,7.508,0,0,0,1,0,0,
	0.938,-0.525,1.902,-0.110,16.200,352.600,0.000,-2.358,0.730,7.498,0,0,0,1,0,0,
	0.942,-0.525,1.902,-0.110,16.350,352.400,0.000,-2.358,0.730,7.498,0,0,0,1,0,0,
	0.945,-0.525,1.902,-0.110,16.450,352.250,0.000,-2.358,0.730,7.498,0,0,0,1,0,0,
	0.952,-0.525,1.902,-0.110,16.650,352.000,0.000,-2.358,0.730,7.498,0,0,0,1,0,0,
	0.960,-0.574,1.910,0.039,16.900,351.600,0.000,-2.465,0.410,7.483,0,0,0,1,0,0,
	0.965,-0.574,1.910,0.039,17.050,351.350,0.000,-2.465,0.410,7.483,0,0,0,1,0,0,
	0.969,-0.574,1.910,0.039,17.200,351.150,0.000,-2.465,0.410,7.483,0,0,0,1,0,0,
	0.974,-0.574,1.910,0.039,17.350,350.900,0.000,-2.465,0.410,7.483,0,0,0,1,0,0,
	0.977,-0.626,1.912,0.189,17.500,350.700,0.000,-2.613,0.090,7.460,0,0,0,1,0,0,
	0.981,-0.626,1.912,0.189,17.650,350.500,0.000,-2.613,0.090,7.460,0,0,0,1,0,0,
	0.985,-0.626,1.912,0.189,17.800,350.250,0.000,-2.613,0.090,7.460,0,0,0,1,0,0,
	0.989,-0.626,1.912,0.189,17.950,350.050,0.000,-2.613,0.090,7.460,0,0,0,1,0,0,
	0.993,-0.626,1.912,0.189,18.100,349.800,0.000,-2.613,0.090,7.460,0,0,0,1,0,0,
	0.997,-0.682,1.907,0.337,18.300,349.500,0.000,-2.760,-0.230,7.433,0,0,0,1,0,0,
	1.001,-0.682,1.907,0.337,18.450,349.250,0.000,-2.760,-0.230,7.433,0,0,0,1,0,0,
	1.006,-0.682,1.907,0.337,18.650,348.950,0.000,-2.760,-0.230,7.433,0,0,0,1,0,0,
	1.010,-0.682,1.907,0.337,18.800,348.650,0.000,-2.760,-0.230,7.433,0,0,0,1,0,0,
	1.015,-0.682,1.907,0.337,19.100,348.200,0.000,-2.760,-0.230,7.433,0,0,0,1,0,0,
